(710)RS1W,U31477,9/89,3-5
(711)RS1Y,U31478,9/89,3-5
(712)RS2,U31479,9/89,3-5
(712)RS3,U31486,9/89,3-5
(714)RS4,U31487,9/89,3-5
(716)RS10,U31472,1/89-34,0.002-0.005
(717)RS13,U31473,1/89-34,0.002-0.005
(718)RS15,U31474,1/89-34,0.002-0.005
(719)RS16,U31475,1/89-34,0.002-0.005
(720)RS19,U31476,1/89-34,0.002-0.005
(721)RS20,U31480,1/89-34,0.002-0.005
(722)RS21,U31481,1/89-34,0.002-0.005
(723)RS21A,U31482,1/89-34,0.002-0.005
(715)RS5,U31488,1/89-34,0.002-0.005
(724)RS28,U31485,3/89,0.03-0.04
(705)S25,U31483,6/90,1.8–3
(697)S7,U31484,6/90,1.8–3
(698)S10,U31489,6/90,1.8–3
(699)S11,U31490,6/90,1.8–3
(700)S12,U31491,6/90,1.8–3
(701)S13,U31492,6/90,1.8–3
(702)S13A,U31493,6/90,1.8–3
(703)S14,U31494,6/90,1.8–3
(696)S2,U31495,6/90,1.8–3
(704)S23,U31496,6/90,1.8–3
(706)S26,U31497,6/90,1.8–3
(707)S26R,U31498,6/90,1.8–3
(708)S36,U31499,6/90,1.8–3
(709)S38,U31500,6/90,1.8–3
